PassengerId,Survived,Pclass,Sex,Age,Sibilings or spouse,Parents or Children,Fare,Embarked
1,0,3,male,Adult,1,0,7.25,England
2,1,1,female,Middle-aged,1,0,71.28,France
3,1,3,female,Adult,0,0,7.93,England
4,1,1,female,Adult,1,0,53.1,England
5,0,3,male,Adult,0,0,8.05,England
6,0,3,male,Adult,0,0,8.46,Ireland
7,0,1,male,Middle-aged,0,0,51.86,England
8,0,3,male,Child,3,1,21.08,England
9,1,3,female,Adult,0,2,11.13,England
10,1,2,female,Teen,1,0,30.07,France
11,1,3,female,Child,1,1,16.7,England
12,1,1,female,Middle-aged,0,0,26.55,England
13,0,3,male,Adult,0,0,8.05,England
14,0,3,male,Middle-aged,1,5,31.28,England
15,0,3,female,Teen,0,0,7.85,England
16,1,2,female,Middle-aged,0,0,16.0,England
17,0,3,male,Child,4,1,29.13,Ireland
18,1,2,male,Adult,0,0,13.0,England
19,0,3,female,Adult,1,0,18.0,England
20,1,3,female,Adult,0,0,7.23,France
21,0,2,male,Adult,0,0,26.0,England
22,1,2,male,Adult,0,0,13.0,England
23,1,3,female,Teen,0,0,8.03,Ireland
24,1,1,male,Adult,0,0,35.5,England
25,0,3,female,Child,3,1,21.08,England
26,1,3,female,Middle-aged,1,5,31.39,England
27,0,3,male,Adult,0,0,7.23,France
28,0,1,male,Adult,3,2,263.0,England
29,1,3,female,Adult,0,0,7.88,Ireland
30,0,3,male,Adult,0,0,7.9,England
31,0,1,male,Middle-aged,0,0,27.72,France
32,1,1,female,Adult,1,0,146.52,France
33,1,3,female,Adult,0,0,7.75,Ireland
34,0,2,male,Senior,0,0,10.5,England
35,0,1,male,Adult,1,0,82.17,France
36,0,1,male,Middle-aged,1,0,52.0,England
37,1,3,male,Adult,0,0,7.23,France
38,0,3,male,Adult,0,0,8.05,England
39,0,3,female,Teen,2,0,18.0,England
40,1,3,female,Teen,1,0,11.24,France
41,0,3,female,Middle-aged,1,0,9.48,England
42,0,2,female,Adult,1,0,21.0,England
43,0,3,male,Adult,0,0,7.9,France
44,1,2,female,Child,1,2,41.58,France
45,1,3,female,Adult,0,0,7.88,Ireland
46,0,3,male,Adult,0,0,8.05,England
47,0,3,male,Adult,1,0,15.5,Ireland
48,1,3,female,Adult,0,0,7.75,Ireland
49,0,3,male,Adult,2,0,21.68,France
50,0,3,female,Teen,1,0,17.8,England
51,0,3,male,Child,4,1,39.69,England
52,0,3,male,Adult,0,0,7.8,England
53,1,1,female,Middle-aged,1,0,76.73,France
54,1,2,female,Adult,1,0,26.0,England
55,0,1,male,Senior,0,1,61.98,France
56,1,1,male,Adult,0,0,35.5,England
57,1,2,female,Adult,0,0,10.5,England
58,0,3,male,Adult,0,0,7.23,France
59,1,2,female,Child,1,2,27.75,England
60,0,3,male,Child,5,2,46.9,England
61,0,3,male,Adult,0,0,7.23,France
62,1,1,female,Middle-aged,0,0,80.0,
63,0,1,male,Middle-aged,1,0,83.48,England
64,0,3,male,Child,3,2,27.9,England
65,0,1,male,Adult,0,0,27.72,France
66,1,3,male,Adult,1,1,15.25,France
67,1,2,female,Adult,0,0,10.5,England
68,0,3,male,Adult,0,0,8.16,England
69,1,3,female,Teen,4,2,7.93,England
70,0,3,male,Adult,2,0,8.66,England
71,0,2,male,Adult,0,0,10.5,England
72,0,3,female,Teen,5,2,46.9,England
73,0,2,male,Adult,0,0,73.5,England
74,0,3,male,Adult,1,0,14.45,France
75,1,3,male,Adult,0,0,56.5,England
76,0,3,male,Adult,0,0,7.65,England
77,0,3,male,Adult,0,0,7.9,England
78,0,3,male,Adult,0,0,8.05,England
79,1,2,male,Infant,0,2,29.0,England
80,1,3,female,Adult,0,0,12.48,England
81,0,3,male,Adult,0,0,9.0,England
82,1,3,male,Adult,0,0,9.5,England
83,1,3,female,Adult,0,0,7.79,Ireland
84,0,1,male,Adult,0,0,47.1,England
85,1,2,female,Teen,0,0,10.5,England
86,1,3,female,Adult,3,0,15.85,England
87,0,3,male,Teen,1,3,34.38,England
88,0,3,male,Adult,0,0,8.05,England
89,1,1,female,Adult,3,2,263.0,England
90,0,3,male,Adult,0,0,8.05,England
91,0,3,male,Adult,0,0,8.05,England
92,0,3,male,Adult,0,0,7.85,England
93,0,1,male,Middle-aged,1,0,61.18,England
94,0,3,male,Adult,1,2,20.58,England
95,0,3,male,Middle-aged,0,0,7.25,England
96,0,3,male,Adult,0,0,8.05,England
97,0,1,male,Senior,0,0,34.65,France
98,1,1,male,Adult,0,1,63.36,France
99,1,2,female,Adult,0,1,23.0,England
100,0,2,male,Adult,1,0,26.0,England
101,0,3,female,Adult,0,0,7.9,England
102,0,3,male,Adult,0,0,7.9,England
103,0,1,male,Adult,0,1,77.29,England
104,0,3,male,Adult,0,0,8.65,England
105,0,3,male,Middle-aged,2,0,7.93,England
106,0,3,male,Adult,0,0,7.9,England
107,1,3,female,Adult,0,0,7.65,England
108,1,3,male,Adult,0,0,7.78,England
109,0,3,male,Middle-aged,0,0,7.9,England
110,1,3,female,Adult,1,0,24.15,Ireland
111,0,1,male,Middle-aged,0,0,52.0,England
112,0,3,female,Teen,1,0,14.45,France
113,0,3,male,Adult,0,0,8.05,England
114,0,3,female,Adult,1,0,9.83,England
115,0,3,female,Teen,0,0,14.46,France
116,0,3,male,Adult,0,0,7.93,England
117,0,3,male,Senior,0,0,7.75,Ireland
118,0,2,male,Adult,1,0,21.0,England
119,0,1,male,Adult,0,1,247.52,France
120,0,3,female,Child,4,2,31.28,England
121,0,2,male,Adult,2,0,73.5,England
122,0,3,male,Adult,0,0,8.05,England
123,0,2,male,Adult,1,0,30.07,France
124,1,2,female,Adult,0,0,13.0,England
125,0,1,male,Middle-aged,0,1,77.29,England
126,1,3,male,Child,1,0,11.24,France
127,0,3,male,Adult,0,0,7.75,Ireland
128,1,3,male,Adult,0,0,7.14,England
129,1,3,female,Adult,1,1,22.36,France
130,0,3,male,Middle-aged,0,0,6.98,England
131,0,3,male,Adult,0,0,7.9,France
132,0,3,male,Adult,0,0,7.05,England
133,0,3,female,Middle-aged,1,0,14.5,England
134,1,2,female,Adult,1,0,26.0,England
135,0,2,male,Adult,0,0,13.0,England
136,0,2,male,Adult,0,0,15.05,France
137,1,1,female,Adult,0,2,26.28,England
138,0,1,male,Middle-aged,1,0,53.1,England
139,0,3,male,Teen,0,0,9.22,England
140,0,1,male,Adult,0,0,79.2,France
141,0,3,female,Adult,0,2,15.25,France
142,1,3,female,Adult,0,0,7.75,England
143,1,3,female,Adult,1,0,15.85,England
144,0,3,male,Adult,0,0,6.75,Ireland
145,0,2,male,Teen,0,0,11.5,England
146,0,2,male,Adult,1,1,36.75,England
147,1,3,male,Adult,0,0,7.8,England
148,0,3,female,Child,2,2,34.38,England
149,0,2,male,Middle-aged,0,2,26.0,England
150,0,2,male,Middle-aged,0,0,13.0,England
151,0,2,male,Middle-aged,0,0,12.53,England
152,1,1,female,Adult,1,0,66.6,England
153,0,3,male,Middle-aged,0,0,8.05,England
154,0,3,male,Middle-aged,0,2,14.5,England
155,0,3,male,Adult,0,0,7.31,England
156,0,1,male,Middle-aged,0,1,61.38,France
